ID,SchemaVersion,SourceName,SourceURL,ProductName,StartupName,PricingModel,CollectedAt
1,1.0,ProductHunt,https://producthunt.com/products/chatgpt,ChatGPT,OpenAI,FREEMIUM,2026-09-10T08:49:03Z
2,1.0,GitHub Repositories,https://github.com/Snailclimb/JavaGuide,JavaGuide,Snailclimb,FREE,2026-09-11T18:21:00Z
3,1.0,GitHub Repositories,https://github.com/firecrawl/firecrawl,firecrawl,firecrawl,FREE,2026-09-11T18:21:00Z
4,1.0,GitHub Repositories,https://github.com/f/prompts.chat,prompts.chat,f,FREE,2026-09-11T18:21:00Z
5,1.0,GitHub Repositories,https://github.com/obra/superpowers,superpowers,obra,FREE,2026-09-11T18:21:00Z
6,1.0,GitHub Repositories,https://github.com/openclaw/openclaw,openclaw,openclaw,FREE,2026-09-11T18:21:00Z
7,1.0,GitHub Repositories,https://github.com/NousResearch/hermes-agent,hermes-agent,NousResearch,FREE,2026-09-11T18:21:00Z
8,1.0,GitHub Repositories,https://github.com/Significant-Gravitas/AutoGPT,AutoGPT,Significant-Gravitas,FREE,2026-09-11T18:21:00Z
9,1.0,GitHub Repositories,https://github.com/AUTOMATIC1111/stable-diffusion-webui,stable-diffusion-webui,AUTOMATIC1111,FREE,2026-09-11T18:21:00Z
10,1.0,GitHub Repositories,https://github.com/n8n-io/n8n,n8n,n8n-io,FREE,2026-09-11T18:21:00Z
11,1.0,GitHub Repositories,https://github.com/langgenius/dify,dify,langgenius,FREE,2026-09-11T18:21:00Z
16,1.0,GitHub Repositories,https://github.com/open-webui/open-webui,open-webui,open-webui,FREE,2026-09-11T18:21:00Z
17,1.0,GitHub Repositories,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,system-prompts-and-models-of-ai-tools,x1xhlol,FREE,2026-09-11T18:21:00Z
19,1.0,GitHub Repositories,https://github.com/github/spec-kit,spec-kit,github,FREE,2026-09-11T18:21:00Z
20,1.0,GitHub Repositories,https://github.com/Comfy-Org/ComfyUI,ComfyUI,Comfy-Org,FREE,2026-09-11T18:21:00Z
21,1.0,GitHub Repositories,https://github.com/langchain-ai/langchain,langchain,langchain-ai,FREE,2026-09-11T18:21:00Z
22,1.0,GitHub Repositories,https://github.com/microsoft/generative-ai-for-beginners,generative-ai-for-beginners,microsoft,FREE,2026-09-11T18:21:00Z
26,1.0,GitHub Repositories,https://github.com/supabase/supabase,supabase,supabase,FREE,2026-09-11T18:21:00Z
27,1.0,GitHub Repositories,https://github.com/rasbt/LLMs-from-scratch,LLMs-from-scratch,rasbt,FREE,2026-09-11T18:21:00Z
29,1.0,GitHub Repositories,https://github.com/JuliusBrussee/caveman,caveman,JuliusBrussee,FREE,2026-09-11T18:21:00Z
30,1.0,GitHub Repositories,https://github.com/google-gemini/gemini-cli,gemini-cli,google-gemini,FREE,2026-09-11T18:21:00Z
31,1.0,GitHub Repositories,https://github.com/punkpeye/awesome-mcp-servers,awesome-mcp-servers,punkpeye,FREE,2026-09-11T18:21:00Z
32,1.0,GitHub Repositories,https://github.com/hacksider/Deep-Live-Cam,Deep-Live-Cam,hacksider,FREE,2026-09-11T18:21:01Z
34,1.0,GitHub Repositories,https://github.com/thedotmack/claude-mem,claude-mem,thedotmack,FREE,2026-09-11T18:21:00Z
